,text,target
295,Для расчета вероятности возникновения пожара (взрыва) на действующих или строящихся объектах необходимо располагать статистическими данными о времени существования различных пожаровзрывоопасных событий.,
296,"Определяется высота рабочей зоны , (30) где - высота площадки, на которой находятся люди, над полом помещения, м; - разность высот пола, равная нулю при горизонтальном его расположении, м.",
297,"Поэтому, например, при определении необходимого времени эвакуации людей из партера зрительного зала с наклонным полом значение следует находить, ориентируясь на наиболее высоко расположенные ряды кресел.",
298,"При наличии молниезащиты вероятность ( ) вычисляют по формуле , (52) где - коэффициент безопасности, определение которого изложено в разд. 4 ; - анализируемый период времени, мин; - время существования неисправности молниеотвода при j -й ее реализации в течение года, мин; - количество неисправных состояний молниезащиты; - вероятность безотказной работы молниезащиты ( при наличии молниезащиты типа А и при наличии молниезащиты типа Б).",
299,"Пожаровзрывоопасность любого объекта определяется пожаровзрывоопасностью его составных частей (технологических аппаратов, установок, помещений).",
300,При отсутствии сведений о параметрах надежности анализируемого оборудования (изделия) последние определяют расчетным путем на основе статистических данных об отказах этого оборудования (изделия). 2.7.,
301,"При необходимости учитывают и иные события, приводящие к образованию горючей среды. 3.",
302,"Вероятность ( ) вычисляют для всех элементов объекта по формуле , (60) где - коэффициент безопасности, определение которого изложено в разд. 4 ; - анализируемый период времени, мин; m - количество включений печи в течение анализируемого периода времени; - время работы печи i -го элемента объекта при j -м ее включении в течение анализируемого периода времени, мин. 3.1.25.",
303,"Вероятность ( ) принимают равной единице, если в соответствии с технологической необходимостью происходит нагрев горючих веществ до опасных температур, или нулю, если такой процесс не происходит.",
304,"Расчетное время эвакуации людей ( ) следует определять как сумму времени движения людского потока по отдельным участкам пути по формуле , (6) где - время движения людского потока на первом (начальном) участке, мин; , , ..., - время движения людского потока на каждом из следующих после первого участка пути, мин.",
305,"Начальными участками являются проходы между рабочими местами, оборудованием, рядами кресел и т.п. При определении расчетного времени длина и ширина каждого участка пути эвакуации принимаются по проекту.",
306,"Вероятность ( ) вычисляют по зависимости (5) где - время от начала пожара до блокирования эвакуационных путей в результате распространения на них ОФП, имеющих предельно допустимые для людей значения, мин; - расчетное время эвакуации людей, мин; - интервал времени от возникновения пожара до начала эвакуации людей, мин.",
307,"Вероятность предотвращения воздействия ОФП определяют для пожароопасной ситуации, при которой место возникновения пожара находится на первом этаже вблизи одного из эвакуационных выходов из здания (сооружения). 2.",
308,В этом случае время движения по участку определяется по формуле (10) . 2.5.,
309,Допускается время принимать равным необходимому времени эвакуации.,
310,"Если значение , определяемое по формуле (9) , меньше или равно значению , то время движения по участку пути ( ) в минуту ; (10) при этом значения следует принимать равными, м/мин: для горизонтальных путей ......................... 16,5 для дверных проемов .............................. 19,6 для лестницы вниз ................................ 16 для лестницы вверх ............................... 11.",
311,"Слияние людских потоков Если значение , определенное по формуле (12) , больше , то ширину данного участка пути следует увеличивать на такую величину, чтобы соблюдалось условие (11).",
312,"Критическая продолжительность пожара для людей, находящихся на этаже очага пожара, определяется из условия достижения одним из ОФП в поэтажном коридоре своего предельно допустимого значения.",
313,Необходимое время эвакуации рассчитывается как произведение критической для человека продолжительности пожара на коэффициент безопасности.,
314,"В качестве критерия опасности для людей, находящихся выше очага пожара, рассматривается условие достижения одним из ОФП предельно допустимого значения в лестничной клетке на уровне этажа пожара.",
315,"Значения температуры, концентраций токсичных компонентов продуктов горения и оптической плотности дыма в коридоре этажа пожара и в лестничной клетке определяются в результате решения системы уравнений теплогазообмена для помещений очага пожара, поэтажного коридора и лестничной клетки.",
316,"Нижний поток имеет границы и , перепад давления для этого потока определяется по формуле . (16) Поток в верхней части проема имеет границы и , перепад давления ( ) для него рассчитывается по формуле . (17) Знак расхода газов (входящий в помещение расход считается положительным, выходящий - отрицательным) и значение зависят от знака перепада давлений . (18) Уравнение баланса массы выражается зависимостью , (19) где - объем помещения, м3; - время, с; - скорость выгорания пожарной нагрузки, ; - сумма расходов, входящих в помещение, ; - сумма расходов, выходящих из помещения,.",
317,"Уравнения движения, связывающие значения перепадов давлений на проемах с расходами через проемы, имеют вид , (13) где - расход через проем, ; - коэффициент расхода проема ( для закрытых проемов и для открытых); - ширина проемов, м; , - нижняя и верхняя границы потока, м; - плотность газов, проходящих через проем, ; - средний в пределах , перепад полных давлений, Па.",
318,Оптическая плотность дыма при обычных условиях связана с расстоянием предельной видимости в дыму соотношением . (23) Значение времени начала эвакуации для зданий (сооружений) без систем оповещения вычисляют по результатам исследования поведения людей при пожарах в зданиях конкретного назначения.,
319,В этом случае вероятность ( ) вычисляют по зависимости (24) где - необходимое время эвакуации из зальных помещений.,
320,Безопасные вещества и материалы следует хранить в помещениях или на площадках любого типа (если это не противоречит техническим условиям на вещество). 1.6.,
321,"Фактор турбулизации - основной параметр, оказывающий определяющее влияние на величину безопасной площади разгерметизации.",
322,Определение нормальной скорости распространения пламени и термодинамических параметров 6.,
323,Метод определения безопасной площади разгерметизации оборудования 1.,
324,Метод определения уровня обеспечения пожарной безопасности людей Приложение 3.,
325,"Возможность совместного хранения веществ и материалов определяется на основании количественного учета показателей пожарной опасности, токсичности, химической активности, а также однородности средств пожаротушения. 1.2.",
326,"Ведомственные документы, регламентирующие пожарную безопасность при хранении веществ и материалов, должны быть приведены в соответствии с настоящими Требованиями. 1.",
327,"Требования не распространяются на взрывчатые и радиоактивные вещества и материалы, которые должны храниться и перевозиться по специальным правилам.",
328,"Нижний и верхний температурные пределы воспламенения нефти равны: ,.",
329,Определить вероятность воздействия ОФП на людей при пожаре в проектируемой 15-этажной гостинице при различных вариантах системы противопожарной защиты 3.1.,
330,"Нижний и верхний концентрационные пределы воспламенения нефтяных паров (по объему), (по объему).",
331,"Из условия задачи следует, что рабочая концентрация паров в резервуаре выше верхнего концентрационного предела воспламенения, т.е. в резервуаре при неподвижном слое нефти находится негорючая среда.",
332,Дополнительно определяем среднее квадратическое отклонение.,
333,"Вероятность ( ) вычисляем по формуле (156) Приложения 5 , где - безразмерный параметр, значение которого выбирается по табличным данным, в зависимости от безразмерного параметра в распределении Стьюдента.",
334,"Основные строительные конструкции здания железобетонные, и предельно допустимый прирост давления для них составляет 25 кПа.",
335,"Определить категорию производства, в котором находится участок обработки зерна и циклон для определения зерновой пыли в системе вентиляции 5.1.",
336,Вероятность возникновения характерного пожароопасного режима определяют статистически по данным испытательных лабораторий предприятий-изготовителей и эксплуатационных служб.,
337,"Он должен быть из числа наиболее опасных в пожарном отношении режимов, которые возникают в эксплуатации и, по возможности, имеют наибольшую вероятность.",
338,"Комплектующие изделия (резисторы, конденсаторы, транзисторы, трансформаторы, клеммные зажимы, реле и т.д.) допускаются к применению, если они отвечают требованиям пожарной безопасности соответствующих нормативно-технических документов и для них определены интенсивности пожароопасных отказов, необходимые для оценки вероятности возникновения пожара в конечном изделии. 1.4.",
339,"При использовании в качестве критерия положительного исхода опыта достижение горючим материалом критической температуры определяется из формулы , (156) где - безразмерный параметр, значение которого выбирается по табличным данным, в зависимости от безразмерного параметра в распределении Стьюдента. , (157) где - критическая температура нагрева горючего материала, К; - среднее арифметическое значение температур в испытаниях в наиболее нагретом месте изделия, К; - среднее квадратическое отклонение.",
340,"Допускается при определении заменять создание характерного пожароопасного режима на использование стандартизованного эквивалентного по тепловому воздействию источника зажигания, т.е. с эквивалентными параметрами, характеризующими воспламеняющую способность (мощность, площадь, периодичность и время воздействия).",
341,Нахождение минимальных пожароопасных значений производится в ходе выполнения экспериментальных исследований при определении . 2.6.,
342,"Вероятность положительного исхода опыта (воспламенения, появления дыма или достижения критической температуры) определяется после проведения лабораторных испытаний в условиях равенства ; , (155) где - число опытов с положительным исходом; - число опытов.",
343,Зажигание изделия возможно только в определенном диапазоне токов КЗ.,
344,"При наличии соответствующих справочных данных может быть определена через общую интенсивность отказов изделия с введением коэффициента, учитывающего долю пожароопасных отказов. 2.4.",
345,"Вероятность ( ) в общем виде рассчитывается по формуле , (152) где - вероятность загрубления защиты (устанавливается обследованием или принимается как среднестатистическое значение, имеющее место на объектах, где преимущественно используется изделие); - эксплуатационная интенсивность отказов аппаратов защиты, 1/ч; - рабочая (аппаратная) интенсивность отказов защиты (определяется по теории надежности технических систем), 1/ч; - интенсивность отказов загрубленной защиты, 1/ч; - текущее время работы, ч.",
346,"Характерный пожароопасный режим изделия определяется значением электротехнического параметра, при котором возможно появление признаков его загорания.",
347,Параметры и условия испытаний для конкретного изделия должны содержаться в нормативно-технической документации на изделие. 1.,
348,"Расчет Оценку уровня безопасности определяем для людей, находящихся на 15-м этаже гостиницы (наиболее удаленном от выхода в безопасную зону) при наличии систем ПДЗ и ОЛП.",
349,Определим число ударов молнии во взрывоопасную зону.,
350,"Определить категорию и класс взрывоопасной зоны помещения, в котором размещается технологический процесс с использованием ацетона 4.1.",
351,"Так как температура пламени газовой горелки и время ее действия значительно превышают температуру воспламенения и время, необходимое для зажигания этиленовоздушной смеси, получаем, что.",
352,"В тех случаях, когда время срабатывания разгерметизирующего устройства соизмеримо с временем горения смеси в сосуде, при определении безопасной площади разгерметизации необходимо учитывать динамику вскрытия сбросного отверстия. 4.9.",
353,"При проектировании систем сброса газообразных продуктов в случае взрыва газопаровых смесей внутри технологического оборудования необходимо принимать во внимание возможность интенсивного догорания эвакуируемой смеси в сбросном трубопроводе, являющегося причиной турбулизации горения внутри защищаемого объема.",
354,"Безопасную площадь разгерметизации технологического оборудования с газопаровыми смесями определяют по следующим безразмерным критериальным соотношениям: (158) для оборудования, рассчитанного на максимальное относительное давление взрыва (при одновременном выполнении условия : в знаменателе формулы (158) сомножитель ( ) отсутствует), и (159) для оборудования, выдерживающего давление взрыва в диапазоне относительных значений.",
355,"СУЩНОСТЬ МЕТОДА Безопасную площадь разгерметизации определяют по расчетным формулам на основе данных о параметрах технологического оборудования, условиях ведения процесса и показателях пожаровзрывоопасности веществ.",
356,"Формулы (158) и (159) могут быть использованы как для определения безопасной площади разгерметизации при проектировании оборудования по максимально допустимому относительному давлению взрыва в аппарате (прямая задача), так и для определения максимально допустимого начального давления горючей смеси в аппарате, рассчитанном на максимальное давление , с уже имеющимся сбросным люком площадью , например при анализе аварий (обратная задача). 2.3.",
357,Погрешность же в определении значения фактора турбулизации может составлять сотни процентов. 3.3.,
358,"Погрешность определения термодинамических параметров - , , , где - показатель адиабаты продуктов сгорания смеси, входящих в расчетные формулы (158) и (159) , составляет проценты, погрешность определения коэффициента расхода , молекулярной массы горючей смеси и нормальной скорости распространения пламени составляет десятки процентов.",
359,Опасные вещества и материалы необходимо хранить в складах I и II степени огнестойкости. 1.9.,
360,Вещества и материалы должны находиться в разных отсеках склада (т.е. должны быть разделены противопожарной перегородкой 1-го типа) или на разных площадках. 4.,
361,Вещества и материалы должны находиться в разных складах или на разных площадках.,
362,Особоопасные вещества и материалы необходимо хранить в складах I и II степени огнестойкости преимущественно в отдельно стоящих зданиях. 2.,
363,Вещества и материалы должны находиться в разных складах или на разных площадках.,
364,Вещества и материалы должны находиться в разных отсеках склада (т.е. должны быть разделены противопожарной перегородкой 1-го типа) или на разных площадках. 4.,
365,Вещества и материалы должны находиться в разных отсеках склада (т.е. должны быть разделены противопожарной перегородкой 1-го типа) или на разных площадках. 4.,
366,Вещества и материалы должны находиться в разных складах или на разных площадках. * Особоопасные вещества и материалы. 2.4.,
367,"В одном помещении склада запрещается хранить вещества и материалы, имеющие неоднородные средства пожаротушения.",
368,Влияние препятствий и турбулизаторов Вопрос о влиянии различных препятствий на пути распространения пламени и турбулентности в смеси перед фронтом пламени является одним из определяющих в выборе значения фактора турбулизации.,
369,Сказанное необходимо учитывать при значениях фактора турбулизации . 5.,
370,"Молекулярную массу смеси идеальных газов определяют по формуле , (164) где и - соответственно молекулярная масса и молярная доля j -го компонента смеси.",
371,"Значение коэффициента расширения по определению , где и - соответственно температура и молекулярная масса продуктов сгорания горючей смеси при начальных давлении и температуре.",
372,"Входящее в критериальные соотношения (158) и (159) в составе комплекса значение нормальной скорости распространения пламени при давлении и температуре, соответствующих началу развития взрыва, может быть определено экспериментально на аттестованном оборудовании или взято из научно-технической литературы, прошедшей оценку достоверности приведенных в ней данных.",
373,"Стехиометрическую концентрацию горючего в воздухе средней влажности определяли по известной формуле , (166) где - стехиометрический коэффициент, равный количеству молекул кислорода, необходимых для сгорания молекулы горючего.",
374,"Наиболее перспективным является экспериментально-расчетный метод оптимизации, позволяющий определять нормальную скорость в бомбе постоянного объема в широком диапазоне температур и давлений.",
375,ОПРЕДЕЛЕНИЕ НОРМАЛЬНОЙ СКОРОСТИ РАСПРОСТРАНЕНИЯ ПЛАМЕНИ И ТЕРМОДИНАМИЧЕСКИХ ПАРАМЕТРОВ 5.1.,
376,"Наиболее правильным методом определения значения фактора турбулизации при наличии внутри аппарата сложных препятствий и турбулизованной смеси можно считать метод, основанный на сравнении расчетной и экспериментальной динамики (зависимость давление - время) взрыва.",
377,"Термодинамические параметры , , определяют путем термодинамического расчета, например на компьютерах, по известным методикам.",
378,"Коэффициент расхода Коэффициент расхода является эмпирическим коэффициентом, учитывающим влияние реальных условий истечения на величину расхода газа, определенную по известным теоретическим модельным соотношениям.",
379,"Для сосудов со встроенными и подвижными элементами, влияние которых на значение фактора турбулизации не может быть в настоящее время оценено, например с использованием литературных данных или экспертным методом, выбор фактора турбулизации должен быть ограничен снизу значением . 4.10.",
380,"Выражение для комплекса подобия в соответствии с формулой (160) и определенными значениями и может быть записано в виде , где измеряют в м2.",
381,Необходимо определить безопасную площадь разгерметизации.,
382,"Численные значения необходимых для расчетов вероятности возникновения пожара (взрыва) показателей надежности различных технологических аппаратов, систем управления, контроля, связи и тому подобных, используемых при проектировании объекта, или исходные данные для их расчета выбирают в соответствии с ГОСТ 2.106 , ГОСТ 2.118 , ГОСТ 2.119 , ГОСТ 2.120 , ГОСТ 15.001 <*> , из нормативно-технической документации, стандартов и паспортов на элементы объекта.",
383,Необходимые сведения могут быть получены в результате сбора и обработки статистических данных об отказах анализируемых элементов в условиях эксплуатации. -------------------------------- <*> В Российской Федерации действует ГОСТ Р 15.201-2000.,
