,text
386,"Значение коэффициента расширения по определению , где и - соответственно температура и молекулярная масса продуктов сгорания горючей смеси при начальных давлении и температуре."
387,"Коэффициент расхода Коэффициент расхода является эмпирическим коэффициентом, учитывающим влияние реальных условий истечения на величину расхода газа, определенную по известным теоретическим модельным соотношениям."
388,"Для сосудов со встроенными и подвижными элементами, влияние которых на значение фактора турбулизации не может быть в настоящее время оценено, например с использованием литературных данных или экспертным методом, выбор фактора турбулизации должен быть ограничен снизу значением."
389,ОПРЕДЕЛЕНИЕ НОРМАЛЬНОЙ СКОРОСТИ РАСПРОСТРАНЕНИЯ ПЛАМЕНИ И ТЕРМОДИНАМИЧЕСКИХ ПАРАМЕТРОВ 5.1.
390,Сказанное необходимо учитывать при значениях фактора турбулизации.
391,"В тех случаях, когда время срабатывания разгерметизирующего устройства соизмеримо с временем горения смеси в сосуде, при определении безопасной площади разгерметизации необходимо учитывать динамику вскрытия сбросного отверстия."
392,"Наиболее перспективным является экспериментально-расчетный метод оптимизации, позволяющий определять нормальную скорость в бомбе постоянного объема в широком диапазоне температур и давлений."
393,Необходимо определить безопасную площадь разгерметизации.
394,"Поэтому система сброса давления, включая трубопровод, должна быть снабжена системой орошения."
395,"Численные значения необходимых для расчетов вероятности возникновения пожара (взрыва) показателей надежности различных технологических аппаратов, систем управления, контроля, связи и тому подобных, используемых при проектировании объекта, или исходные данные для их расчета выбирают в соответствии с ГОСТ 2.106 , ГОСТ 2.118 , ГОСТ 2.119 , ГОСТ 2.120 , ГОСТ 15.001 <*> , из нормативно-технической документации, стандартов и паспортов на элементы объекта."
396,Необходимые сведения могут быть получены в результате сбора и обработки статистических данных об отказах анализируемых элементов в условиях эксплуатации. -------------------------------- <*> В Российской Федерации действует ГОСТ Р 15.201-2000.
